,Call_OI,Put_OI,c_gamma,c_vega,c_theta,c_delta,Call_IV,Put_IV,p_delta,p_theta,p_vega,p_gamma,maxpain
2023-09-27 19:17:37.176209,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:18:37.799023,4375277.33,3541961.0,0.0114,106.4471,-1327.6713,44.6704,3228.35,4009.54,-49.3296,-184.4282,106.4471,0.0114,44600.0
2023-09-27 19:19:36.548817,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:20:36.738806,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:21:49.112602,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:22:52.221554,4375277.33,3541961.0,0.0114,106.4471,-1327.6713,44.6704,3228.35,4009.54,-49.3296,-184.4282,106.4471,0.0114,44600.0
2023-09-27 19:23:29.637935,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:23:29.822825,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:23:31.020172,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:24:32.315697,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:24:47.581041,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:24:58.923889,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:25:29.968676,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:26:23.817716,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:26:34.829059,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:27:39.317926,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:28:37.462110,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:29:39.740644,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:30:39.459763,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:31:39.566685,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:32:38.766772,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:33:38.189395,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:35:00.018072,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:36:11.012484,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:36:39.508649,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:37:38.588238,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:38:44.166983,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:40:03.016990,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:41:02.894271,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:41:14.943541,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:41:16.283971,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:41:45.706441,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:42:05.689748,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:43:17.078142,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:43:56.783532,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:44:55.995964,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:45:52.387779,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:46:44.442205,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:47:23.715339,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:47:44.664707,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:48:32.655125,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 19:49:11.628425,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:50:53.557517,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:51:02.202376,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:52:02.209262,4375277.33,3541961.0,0.0114,106.4471,-1327.6713,44.6704,3228.35,4009.54,-49.3296,-184.4282,106.4471,0.0114,44600.0
2023-09-27 19:52:54.365330,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:53:40.081837,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:54:39.860588,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:54:48.954664,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:55:51.650216,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:57:10.636080,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:57:52.252357,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-27 19:58:07.152831,4375277.33,3541961.0,0.0114,106.4471,-1327.6713,44.6704,3228.35,4009.54,-49.3296,-184.4282,106.4471,0.0114,44600.0
2023-09-27 19:59:09.933772,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 20:00:07.317969,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 20:01:11.237863,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 20:02:08.404887,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 20:03:08.831672,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 20:04:10.426633,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 20:05:09.933634,4375277.33,3541961.0,0.0107,95.2155,-1232.4318,44.8856,2827.99,4135.76,-49.1144,-89.1886,95.2155,0.0107,44600.0
2023-09-27 20:06:08.099150,4375277.33,3541961.0,0.0107,95.2059,-1232.3891,44.8854,2827.94,4135.73,-49.1146,-89.146,95.2059,0.0107,44600.0
2023-09-28 11:24:05.138479,7225811.0,4942533.33,0.0103,7.0912,-104.1784,43.2218,2919.65,3572.02,-50.7782,89.6936,7.0912,0.0102,44500.0
2023-09-28 11:25:07.049743,7225104.0,4940925.33,0.01,7.1016,-105.9059,43.3201,2919.65,3572.02,-50.6799,86.3723,7.1016,0.01,44500.0
2023-09-28 11:26:08.052564,7225104.0,4940925.33,0.01,7.1016,-105.9059,43.3201,2919.65,3572.02,-50.6799,86.3723,7.1016,0.01,44500.0
2023-09-28 11:27:09.834061,7242608.0,4930530.33,0.01,7.0684,-105.4408,43.3196,2919.65,3572.02,-50.6804,86.0405,7.0684,0.01,44500.0
2023-09-28 11:28:11.996953,7244827.0,4844044.33,0.0097,7.1752,-110.6308,43.4757,2919.65,3572.02,-50.5243,79.2567,7.1752,0.0097,44500.0
2023-09-28 11:28:45.654053,7244827.0,4844044.33,0.0097,7.1752,-110.6308,43.4757,2919.65,3572.02,-50.5243,79.2567,7.1752,0.0097,44500.0
2023-09-28 11:30:02.866084,7244830.0,4843991.33,0.0097,7.1789,-111.8248,43.5235,2919.65,3572.02,-50.4765,76.4689,7.1789,0.0097,44500.0
2023-09-28 11:30:41.448428,7244830.0,4843991.33,0.0097,7.1789,-111.8248,43.5235,2919.65,3572.02,-50.4765,76.4689,7.1789,0.0097,44500.0
2023-09-28 11:31:05.253768,7244830.0,4843991.33,0.0097,7.1789,-111.8248,43.5235,2919.65,3572.02,-50.4765,76.4689,7.1789,0.0097,44500.0
2023-09-28 11:31:45.774374,7212179.0,4843724.33,0.0098,7.0236,-107.5067,43.4346,2919.65,3572.02,-50.5654,79.9901,7.0236,0.0098,44500.0
2023-09-28 11:32:43.605751,7205040.0,4818785.33,0.0098,6.8335,-104.4575,43.3972,2477.14,4238.17,-50.6028,81.472,6.8335,0.0098,44500.0
