,Call_COI,Call_OI,Call_IV,Call_LTP,Strike_Price,Put_LTP,Put_IV,Put_OI,Put_COI
0,44,44,82.17,6709.05,38000,1.25,47.67,39383,13767
1,0,0,0.0,0.0,38500,1.65,44.99,3350,2349
2,0,0,0.0,0.0,39000,1.35,41.01,10782,8217
3,0,0,0.0,0.0,39500,1.45,37.6,7565,7433
4,0,1,0.0,4576.25,40000,2.25,35.34,23119,6707
5,0,21,0.0,0.0,40500,2.4,31.72,11817,2080
6,1,16,44.68,3685.0,41000,2.45,28.39,29532,12345
7,900,1090,29.97,3147.3,41500,2.25,24.69,34969,11539
8,0,0,0.0,0.0,41600,2.15,23.84,3796,556
9,0,0,0.0,0.0,41700,1.95,22.99,8897,5167
10,0,0,0.0,0.0,41800,2.3,22.33,7744,2184
11,0,0,0.0,0.0,41900,2.35,21.88,8769,1048
12,415,756,0.0,2622.7,42000,2.85,21.45,113980,18003
13,0,0,0.0,0.0,42100,2.75,20.66,4578,-1252
14,0,0,0.0,0.0,42200,2.65,19.97,11171,-411
15,0,1,0.0,0.0,42300,3.35,19.67,13160,548
16,0,0,0.0,0.0,42400,3.45,19.02,8553,2440
17,17,296,23.97,2158.0,42500,4.5,18.62,97281,34997
18,0,0,0.0,0.0,42600,3.95,17.9,15615,5663
19,1,1,32.67,2039.5,42700,4.45,17.45,14299,-7159
20,0,30,0.0,0.0,42800,5.0,16.97,23205,-7338
21,0,0,0.0,0.0,42900,3.35,16.25,26300,15199
22,131,1590,17.24,1655.0,43000,6.05,15.81,130390,14754
23,9,66,15.75,1548.0,43100,6.85,15.31,21705,8919
24,21,37,15.7,1451.25,43200,6.25,14.72,31218,16587
25,34,185,14.86,1351.7,43300,9.9,14.23,38956,23494
26,12,111,22.33,1321.8,43400,10.0,13.73,37818,16925
27,-351,3535,14.83,1167.05,43500,12.85,13.24,113284,19600
28,-31,359,13.93,1063.6,43600,15.65,12.69,34382,17554
29,486,1155,14.02,973.95,43700,18.65,12.28,40029,21675
30,-45,1452,13.14,872.55,43800,24.0,11.86,61076,34132
31,-239,674,12.21,785.85,43900,30.95,11.57,49956,29015
32,-2214,20559,11.85,692.0,44000,39.35,11.17,113215,44310
33,665,3921,11.71,599.75,44100,49.7,10.82,54008,39885
34,5794,20884,11.15,512.55,44200,63.0,10.4,83337,51087
35,-17657,17501,10.7,433.0,44300,80.95,10.15,92262,49656
36,-15805,32174,10.39,355.5,44400,105.0,9.81,98823,57730
37,-1180,113378,10.05,287.0,44500,133.6,9.6,180284,108047
38,22355,96399,9.83,224.95,44600,171.85,9.3,103307,69195
39,47668,132748,9.58,169.95,44700,215.9,9.12,66526,40266
40,47274,103329,9.39,125.8,44800,270.9,8.8,38771,24872
41,44451,76254,9.22,88.0,44900,336.95,8.62,16457,11021
42,62876,175325,9.06,61.45,45000,408.7,8.37,42003,16162
43,40337,74564,9.03,40.8,45100,490.1,8.11,5158,2820
44,40243,81111,9.06,27.85,45200,571.75,7.89,4649,1791
45,25765,62907,9.16,16.2,45300,663.05,7.81,3324,-1792
46,32019,60079,9.34,12.7,45400,760.65,7.56,2535,18
47,33027,135143,9.69,9.4,45500,853.8,7.68,8933,-324
48,16314,42574,10.04,7.25,45600,951.1,0.0,1832,-96
49,19020,39841,10.63,6.55,45700,1062.25,10.19,729,-29
50,28831,52637,11.29,6.0,45800,1161.85,10.89,632,30
51,15070,33160,11.79,5.0,45900,1261.45,11.56,607,6
52,52595,165162,12.35,4.5,46000,1351.9,0.0,4443,-266
53,2871,18458,12.89,3.9,46100,1472.6,16.21,423,14
54,16657,27184,13.5,3.6,46200,1543.8,0.0,194,-41
55,3057,19385,14.04,2.95,46300,1692.75,21.34,219,-3
56,-1,17123,14.67,3.2,46400,1671.4,0.0,565,1
57,930,116937,15.31,3.25,46500,1861.0,16.21,2232,38
